//ID	日付	時間	緯度	経度	速度(km/hour)	高度(m)	WayPoint
1	2018-01-11	14:55:45	35.44808	136.67403	9.000	234.0	false
2	2018-01-11	14:56:04	35.44798	136.67411	1.000	207.0	false
3	2018-01-11	14:56:05	35.44766	136.67420	0.500	164.0	false
4	2018-01-11	14:56:07	35.44734	136.67427	2.600	105.0	false
5	2018-01-11	14:56:08	35.44730	136.67427	4.200	97.0	false
6	2018-01-11	14:56:09	35.44729	136.67427	2.200	94.0	false
7	2018-01-11	14:56:10	35.44731	136.67426	0.400	95.0	false
8	2018-01-11	14:56:11	35.44723	136.67428	0.800	83.0	false
9	2018-01-11	14:56:12	35.44715	136.67430	1.400	68.0	false
10	2018-01-11	14:56:13	35.44710	136.67431	0.900	60.0	false
11	2018-01-11	14:56:14	35.44706	136.67432	0.800	53.0	false
12	2018-01-11	14:56:15	35.44703	136.67432	0.800	48.0	false
13	2018-01-11	14:56:16	35.44701	136.67433	0.700	44.0	false
14	2018-01-11	14:56:17	35.44699	136.67433	0.700	40.0	false
15	2018-01-11	14:56:18	35.44697	136.67434	0.700	37.0	false
16	2018-01-11	14:56:19	35.44696	136.67434	1.000	34.0	false
17	2018-01-11	14:56:20	35.44695	136.67433	3.800	32.0	false
18	2018-01-11	14:56:21	35.44695	136.67432	7.400	30.0	false
19	2018-01-11	14:56:22	35.44696	136.67431	8.600	29.0	false
20	2018-01-11	14:56:23	35.44698	136.67431	9.600	27.0	false
21	2018-01-11	14:56:24	35.44700	136.67433	12.300	26.0	false
22	2018-01-11	14:56:25	35.44702	136.67436	12.700	25.0	false
23	2018-01-11	14:56:26	35.44702	136.67439	9.500	24.0	false
24	2018-01-11	14:56:27	35.44702	136.67441	6.400	23.0	false
25	2018-01-11	14:56:28	35.44702	136.67443	4.200	22.0	false
26	2018-01-11	14:56:29	35.44702	136.67444	0.600	21.0	false
27	2018-01-11	14:56:30	35.44705	136.67443	0.300	30.0	false
28	2018-01-11	14:56:31	35.44706	136.67443	0.200	31.0	false
29	2018-01-11	14:56:32	35.44706	136.67444	1.200	32.0	false
30	2018-01-11	14:56:33	35.44706	136.67444	2.800	32.0	false
31	2018-01-11	14:56:34	35.44706	136.67445	4.090	33.0	false
32	2018-01-11	14:56:35	35.44707	136.67447	5.500	33.0	false
33	2018-01-11	14:56:36	35.44708	136.67448	5.500	32.0	false
34	2018-01-11	14:56:37	35.44710	136.67449	9.690	32.0	false
35	2018-01-11	14:56:38	35.44713	136.67450	12.800	32.0	false
36	2018-01-11	14:56:39	35.44717	136.67451	14.700	33.0	false
37	2018-01-11	14:56:40	35.44721	136.67452	19.100	33.0	false
38	2018-01-11	14:56:41	35.44727	136.67453	22.000	33.0	false
39	2018-01-11	14:56:42	35.44732	136.67455	21.800	33.0	false
40	2018-01-11	14:56:43	35.44738	136.67456	21.000	33.0	false
41	2018-01-11	14:56:44	35.44743	136.67458	18.600	33.0	false
42	2018-01-11	14:56:45	35.44747	136.67458	16.300	33.0	false
43	2018-01-11	14:56:46	35.44751	136.67459	13.100	33.0	false
44	2018-01-11	14:56:47	35.44753	136.67460	10.000	33.0	false
45	2018-01-11	14:56:48	35.44755	136.67461	6.100	33.0	false
46	2018-01-11	14:56:49	35.44756	136.67461	2.800	33.0	false
47	2018-01-11	14:56:50	35.44757	136.67461	0.700	33.0	false
48	2018-01-11	14:56:51	35.44757	136.67461	0.200	33.0	false
49	2018-01-11	14:56:52	35.44757	136.67461	0.200	34.0	false
50	2018-01-11	14:56:53	35.44757	136.67461	0.100	34.0	false
51	2018-01-11	14:56:54	35.44757	136.67461	0.200	34.0	false
52	2018-01-11	14:56:55	35.44757	136.67461	0.100	34.0	false
