//ID	日付	時刻	緯度	経度	速度(km/s)	高度
1	2018/1/11	15-28-58	35.26.49.836	136.40.27.012	0	25
2	2018/1/11	15-28-58	35.26.49.836	136.40.27.012	0	25
3	2018/1/11	15-28-59	35.26.49.524	136.40.27.174	0	27
4	2018/1/11	15-29-00	35.26.49.494	136.40.27.348	0	29
5	2018/1/11	15-29-01	35.26.49.464	136.40.27.270	0.2	31
6	2018/1/11	15-29-03	35.26.49.512	136.40.27.216	1.7	24
7	2018/1/11	15-29-04	35.26.49.500	136.40.27.258	0.2	21
8	2018/1/11	15-29-05	35.26.49.542	136.40.27.306	0.4	23
9	2018/1/11	15-29-06	35.26.49.572	136.40.27.318	0.2	25
10	2018/1/11	15-29-07	35.26.49.596	136.40.27.330	0.3	26
11	2018/1/11	15-29-08	35.26.49.584	136.40.27.306	0.3	28
12	2018/1/11	15-29-09	35.26.49.572	136.40.27.288	0.2	28
13	2018/1/11	15-29-10	35.26.49.560	136.40.27.282	0.2	29
14	2018/1/11	15-29-11	35.26.49.554	136.40.27.276	0.2	29
15	2018/1/11	15-29-12	35.26.49.548	136.40.27.270	0.3	29
16	2018/1/11	15-29-13	35.26.49.542	136.40.27.270	0.2	29
17	2018/1/11	15-29-14	35.26.49.536	136.40.27.270	0.3	29
18	2018/1/11	15-29-15	35.26.49.530	136.40.27.270	0.3	29
19	2018/1/11	15-29-16	35.26.49.524	136.40.27.270	0.3	29
20	2018/1/11	15-29-17	35.26.49.518	136.40.27.270	1.2	29
21	2018/1/11	15-29-18	35.26.49.512	136.40.27.294	3	29
22	2018/1/11	15-29-19	35.26.49.500	136.40.27.336	4.5	29
23	2018/1/11	15-29-20	35.26.49.506	136.40.27.390	5.7	29
24	2018/1/11	15-29-21	35.26.49.512	136.40.27.456	6.6	29
25	2018/1/11	15-29-22	35.26.49.524	136.40.27.534	7.5	28
26	2018/1/11	15-29-23	35.26.49.530	136.40.27.618	8.1	28
