ID	日付	時間	緯度	経度	速度(km/hour)	高度(m)	角度(°)	距離(m)
1	2018-1-11	15:28:58	N35.26.49.848	E136.40.27.012	25.0	0.0	0.0	0.0	0
2	2018-1-11	15:28:58	N35.26.49.848	E136.40.27.012	25.0	0.0	168.1306752193415	8.69876718638211	0
3	2018-1-11	15:28:59	N35.26.49.524	E136.40.27.192	27.0	0.0	-165.3654257229244	4.284123395448778	0
4	2018-1-11	15:29:00	N35.26.49.488	E136.40.27.336	29.0	0.0	98.05162535087086	2.909036098672558	0
5	2018-1-11	15:29:01	N35.26.49.452	E136.40.27.264	31.0	0.2	-35.92479937678138	7.048181352698331	0
6	2018-1-11	15:29:03	N35.26.49.524	E136.40.27.228	24.0	1.7	-70.08497944484287	2.016452613479631	0
7	2018-1-11	15:29:04	N35.26.49.488	E136.40.27.264	21.0	0.2	179.31685435720354	1.3402134514470097	0
8	2018-1-11	15:29:05	N35.26.49.524	E136.40.27.300	23.0	0.4	136.67425001288143	0.9858517507104005	0
9	2018-1-11	15:29:06	N35.26.49.560	E136.40.27.300	25.0	0.2	-144.0045388511393	0.9238924325740178	0
10	2018-1-11	15:29:07	N35.26.49.596	E136.40.27.336	26.0	0.3	107.54650118525657	1.8651794905795043	0
11	2018-1-11	15:29:08	N35.26.49.596	E136.40.27.300	28.0	0.3	136.67424999522527	0.6434515575501747	0
12	2018-1-11	15:29:09	N35.26.49.560	E136.40.27.300	28.0	0.2	88.57585413708539	1.219805499586857	0
13	2018-1-11	15:29:10	N35.26.49.560	E136.40.27.264	29.0	0.2	0.0	0.0	0
14	2018-1-11	15:29:11	N35.26.49.560	E136.40.27.264	29.0	0.2	0.0	0.0	0
15	2018-1-11	15:29:12	N35.26.49.560	E136.40.27.264	29.0	0.3	136.67423999194543	0.6434515015604728	0
16	2018-1-11	15:29:13	N35.26.49.524	E136.40.27.264	29.0	0.2	0.0	0.0	0
17	2018-1-11	15:29:14	N35.26.49.524	E136.40.27.264	29.0	0.3	0.0	0.0	0
18	2018-1-11	15:29:15	N35.26.49.524	E136.40.27.264	29.0	0.3	0.0	0.0	0
19	2018-1-11	15:29:16	N35.26.49.524	E136.40.27.264	29.0	0.3	0.0	0.0	0
20	2018-1-11	15:29:17	N35.26.49.524	E136.40.27.264	29.0	1.2	-133.32575500152748	0.9078926220750082	0
21	2018-1-11	15:29:18	N35.26.49.524	E136.40.27.300	29.0	3.0	-168.65211340308218	1.1127887214703367	0
22	2018-1-11	15:29:19	N35.26.49.488	E136.40.27.336	29.0	4.5	-133.32573499180654	0.9078927288489977	0
23	2018-1-11	15:29:20	N35.26.49.488	E136.40.27.372	29.0	5.7	-113.81315918823852	1.9264231325530343	0
24	2018-1-11	15:29:21	N35.26.49.524	E136.40.27.444	29.0	6.6	-109.16232564800941	1.990158904151148	0
25	2018-1-11	15:29:22	N35.26.49.524	E136.40.27.516	28.0	7.5	-133.32567499870572	2.723677436823654	0
26	2018-1-11	15:29:23	N35.26.49.524	E136.40.27.624	28.0	8.1	-133.3256499894297	1.8157849537090789	1
27	2018-1-11	15:29:24	N35.26.49.524	E136.40.27.696	28.0	8.5	-133.3256250063892	2.7236774331617934	2
28	2018-1-11	15:29:25	N35.26.49.524	E136.40.27.804	28.0	8.6	-146.61764823009707	2.7986513164518234	2
29	2018-1-11	15:29:26	N35.26.49.488	E136.40.27.912	28.0	8.3	-133.32557002897656	1.815785182938076	2
30	2018-1-11	15:29:27	N35.26.49.488	E136.40.27.984	28.0	7.2	-133.32555492857185	0.9078925872637201	2
31	2018-1-11	15:29:28	N35.26.49.488	E136.40.28.020	28.0	4.2	-168.65190343348885	1.1127885481983784	2
32	2018-1-11	15:29:29	N35.26.49.452	E136.40.28.056	28.0	1.9	-133.32553499879563	0.9078927035547698	2
33	2018-1-11	15:29:30	N35.26.49.452	E136.40.28.092	28.0	0.7	-43.32553001292564	0.8146516261472566	2
34	2018-1-11	15:29:31	N35.26.49.452	E136.40.28.092	27.0	0.3	0.0	0.0	2
35	2018-1-11	15:29:32	N35.26.49.452	E136.40.28.092	27.0	1.5	-133.32552500350195	0.9078925592901815	2
36	2018-1-11	15:29:33	N35.26.49.452	E136.40.28.128	27.0	2.5	-133.3255149882272	0.9078925619530386	2
37	2018-1-11	15:29:34	N35.26.49.452	E136.40.28.164	27.0	2.7	0.0	0.0	2
38	2018-1-11	15:29:35	N35.26.49.452	E136.40.28.164	27.0	4.3	-113.81294585934536	1.9264226871511159	2
39	2018-1-11	15:29:36	N35.26.49.488	E136.40.28.236	27.0	5.0	-97.99911656043804	1.1127883713036948	2
40	2018-1-11	15:29:37	N35.26.49.524	E136.40.28.272	27.0	5.6	-97.99909663338154	1.1127883747568728	2
41	2018-1-11	15:29:38	N35.26.49.560	E136.40.28.308	27.0	7.7	-43.32547000545575	2.1015541940265727	2
42	2018-1-11	15:29:39	N35.26.49.632	E136.40.28.308	26.0	9.6	-68.51417241279024	2.1331993942091256	2
43	2018-1-11	15:29:40	N35.26.49.740	E136.40.28.344	26.0	11.5	-68.51413796568038	2.1332005476056004	2
44	2018-1-11	15:29:41	N35.26.49.848	E136.40.28.380	26.0	12.7	-68.51410343998815	2.133201698651971	2
45	2018-1-11	15:29:42	N35.26.49.956	E136.40.28.416	26.0	13.1	-68.51406893587507	2.1332028453799103	2
46	2018-1-11	15:29:43	N35.26.50.064	E136.40.28.452	26.0	12.8	-68.51403432879094	2.1332039976217447	3
47	2018-1-11	15:29:44	N35.26.50.172	E136.40.28.488	26.0	12.0	-43.32541999690772	2.5738171764380895	0
