ID	日付	時間	緯度	経度	速度(km/hour)	高度(m)	角度(°)	距離(m)
1	2018-01-23	15:49:25	N35.26.58.020	E136.33.49.716	39.0	0.2	39.16721784579632	2.749421502916158	0
2	2018-01-23	15:49:26	N35.26.57.948	E136.33.49.644	41.0	0.6	39.167210897230426	1.3747107128357634	0
3	2018-01-23	15:49:27	N35.26.57.984	E136.33.49.680	41.0	0.9	0.0	0.0	0
4	2018-01-23	15:49:29	N35.26.57.984	E136.33.49.680	41.0	0.3	0.0	0.0	0
5	2018-01-23	15:49:30	N35.26.57.984	E136.33.49.680	40.0	0.2	0.0	0.0	0
6	2018-01-23	15:49:32	N35.26.57.984	E136.33.49.680	40.0	0.2	0.0	0.0	0
7	2018-01-23	15:49:33	N35.26.57.984	E136.33.49.680	39.0	0.3	0.0	0.0	0
8	2018-01-23	15:49:34	N35.26.57.984	E136.33.49.680	39.0	0.2	0.0	0.0	0
9	2018-01-23	15:49:35	N35.26.57.984	E136.33.49.680	39.0	0.2	0.0	0.0	0
10	2018-01-23	15:49:36	N35.26.57.984	E136.33.49.680	39.0	0.3	0.0	0.0	0
11	2018-01-23	15:49:37	N35.26.57.984	E136.33.49.680	39.0	0.2	89.9999971142675	1.1110123955692506	0
12	2018-01-23	15:49:38	N35.26.57.984	E136.33.49.716	39.0	0.1	0.0	0.0	0
13	2018-01-23	15:49:39	N35.26.57.984	E136.33.49.716	39.0	0.2	0.0	0.0	0
14	2018-01-23	15:49:40	N35.26.57.984	E136.33.49.716	39.0	0.1	0.0	0.0	0
15	2018-01-23	15:49:41	N35.26.57.984	E136.33.49.716	38.0	0.2	0.0	0.0	0
16	2018-01-23	15:49:42	N35.26.57.984	E136.33.49.716	38.0	0.2	0.0	0.0	0
17	2018-01-23	15:49:43	N35.26.57.984	E136.33.49.716	38.0	0.2	0.0	0.0	0
18	2018-01-23	15:49:44	N35.26.57.984	E136.33.49.716	38.0	0.2	0.0	0.0	0
19	2018-01-23	15:49:45	N35.26.57.984	E136.33.49.716	38.0	0.2	0.0	0.0	0
20	2018-01-23	15:49:46	N35.26.57.984	E136.33.49.716	38.0	0.1	0.0	0.0	0
21	2018-01-23	15:49:48	N35.26.57.984	E136.33.49.716	38.0	0.2	0.0	0.0	0
22	2018-01-23	15:49:50	N35.26.57.984	E136.33.49.716	38.0	0.3	0.0	0.0	0
23	2018-01-23	15:49:52	N35.26.57.984	E136.33.49.716	38.0	0.3	0.0	0.0	0
24	2018-01-23	15:49:54	N35.26.57.984	E136.33.49.716	38.0	1.5	270.0000028857325	1.1110123955692506	0
25	2018-01-23	15:49:55	N35.26.57.984	E136.33.49.680	38.0	2.7	270.0000028857325	1.1110123975196657	0
26	2018-01-23	15:49:56	N35.26.57.984	E136.33.49.644	38.0	4.0	270.0000028857325	1.1110123966431724	1
27	2018-01-23	15:49:57	N35.26.57.984	E136.33.49.608	38.0	3.4	270.0000028857325	1.1110124014204963	2
28	2018-01-23	15:49:58	N35.26.57.984	E136.33.49.572	38.0	1.6	0.0	0.0	2
29	2018-01-23	15:49:59	N35.26.57.984	E136.33.49.572	38.0	0.3	337.83824787657056	1.963738989001842	2
30	2018-01-23	15:50:01	N35.26.57.912	E136.33.49.608	38.0	8.1	337.83824290839726	1.9637392065879113	2
31	2018-01-23	15:50:02	N35.26.57.840	E136.33.49.644	38.0	12.6	0.0	3.238470970638959	2
32	2018-01-23	15:50:03	N35.26.57.696	E136.33.49.644	38.0	16.2	11.51127367088979	3.423746638232205	2
33	2018-01-23	15:50:04	N35.26.57.552	E136.33.49.608	38.0	16.6	354.1856858974311	6.571538522656234	2
34	2018-01-23	15:50:06	N35.26.57.264	E136.33.49.644	38.0	14.4	331.4942046786019	3.2919180015524776	3
35	2018-01-23	15:50:07	N35.26.57.156	E136.33.49.716	38.0	14.2	301.5405724407391	4.729852368486555	0
36	2018-01-23	15:50:08	N35.26.57.084	E136.33.49.860	38.0	15.1	276.99830711585037	11.139584067894054	0
37	2018-01-23	15:50:10	N35.26.57.048	E136.33.50.220	38.0	18.2	283.7938564504568	5.613750664642734	0
38	2018-01-23	15:50:11	N35.26.57.012	E136.33.50.400	38.0	18.2	292.25354980905416	6.859918962549951	0
39	2018-01-23	15:50:12	N35.26.56.940	E136.33.50.616	38.0	17.6	301.5405533741164	4.729854472444891	0
40	2018-01-23	15:50:13	N35.26.56.868	E136.33.50.760	38.0	17.0	301.5405470400782	4.729854808256295	0
41	2018-01-23	15:50:14	N35.26.56.796	E136.33.50.904	38.0	16.3	337.83816040871415	3.9274943838472525	0
42	2018-01-23	15:50:15	N35.26.56.652	E136.33.50.976	38.0	15.8	337.8381504676931	3.9274952593105916	0
43	2018-01-23	15:50:16	N35.26.56.508	E136.33.51.048	38.0	15.2	353.36200180439084	5.775234175417318	0
44	2018-01-23	15:50:18	N35.26.56.256	E136.33.51.084	37.0	12.8	0.0	1.6192461517279182	0
45	2018-01-23	15:50:19	N35.26.56.184	E136.33.51.084	37.0	6.6	0.0	1.6192461506978983	0
46	2018-01-23	15:50:20	N35.26.56.112	E136.33.51.084	37.0	5.4	320.83260209112603	1.3747137859147838	0
47	2018-01-23	15:50:21	N35.26.56.076	E136.33.51.120	37.0	8.0	309.2956612730239	3.7055492853851675	0
48	2018-01-23	15:50:22	N35.26.56.004	E136.33.51.228	37.0	13.1	276.99828129753314	11.139583696979345	1
49	2018-01-23	15:50:24	N35.26.55.968	E136.33.51.588	37.0	21.5	89.99995070208395	18.887208673829033	3
50	2018-01-23	15:50:26	N35.26.55.968	E136.33.52.200	37.0	31.1	89.99997099970872	11.110122488499877	0
51	2018-01-23	15:50:27	N35.26.55.968	E136.33.52.560	37.0	35.29	89.9999652018129	13.3321467259186	0
52	2018-01-23	15:50:28	N35.26.55.968	E136.33.52.992	37.0	39.29	89.99992460323483	28.886316945951968	0
53	2018-01-23	15:50:30	N35.26.55.968	E136.33.53.928	37.0	45.9	272.34304624375034	33.3401961391511	0
54	2018-01-23	15:50:32	N35.26.55.932	E136.33.55.008	38.0	50.7	89.99990430376867	36.66339844727325	0
55	2018-01-23	15:50:34	N35.26.55.932	E136.33.56.196	38.0	53.1	89.99990430376867	36.6633963204527	0
56	2018-01-23	15:50:36	N35.26.55.932	E136.33.57.384	38.0	55.1	89.99990140418014	37.7744061102786	0
57	2018-01-23	15:50:38	N35.26.55.932	E136.33.58.608	38.0	53.1	89.99990720352544	35.55238016430584	0
58	2018-01-23	15:50:40	N35.26.55.932	E136.33.59.760	38.0	52.3	89.99990720352544	35.55237816426612	0
59	2018-01-23	15:50:42	N35.26.55.932	E136.34.00.912	38.0	53.1	89.99995070209006	18.887200086187207	0
60	2018-01-23	15:50:43	N35.26.55.932	E136.34.01.524	38.0	53.7	89.99995360211224	17.776187802669632	0
61	2018-01-23	15:50:44	N35.26.55.932	E136.34.02.100	38.0	54.2	89.99990140418014	37.77439742318621	0
62	2018-01-23	15:50:46	N35.26.55.932	E136.34.03.324	38.0	54.9	89.99990140418014	37.7743951685251	0
63	2018-01-23	15:50:48	N35.26.55.932	E136.34.04.548	38.0	55.4	89.99990140418014	37.77439291386569	0
64	2018-01-23	15:50:50	N35.26.55.932	E136.34.05.772	38.0	53.8	89.99990720352544	35.552367744161536	0
65	2018-01-23	15:50:52	N35.26.55.932	E136.34.06.924	38.0	53.4	89.99990430376867	36.6633771402164	0
66	2018-01-23	15:50:54	N35.26.55.932	E136.34.08.112	38.0	52.7	89.99995360211224	17.77618209190795	0
67	2018-01-23	15:50:55	N35.26.55.932	E136.34.08.688	38.0	51.2	89.99995360211226	17.776181595434384	0
68	2018-01-23	15:50:56	N35.26.55.932	E136.34.09.264	38.0	50.0	89.99995650255113	16.66516979084019	0
69	2018-01-23	15:50:57	N35.26.55.932	E136.34.09.804	38.0	48.6	89.99995940189815	15.554158074013756	0
70	2018-01-23	15:50:58	N35.26.55.932	E136.34.10.308	38.0	47.3	89.99995650255114	16.66516893959328	0
71	2018-01-23	15:50:59	N35.26.55.932	E136.34.10.848	38.0	45.9	89.9999623016221	14.443146061604732	0
72	2018-01-23	15:51:00	N35.26.55.932	E136.34.11.316	38.0	43.6	89.99992750285998	27.77527995974436	0
73	2018-01-23	15:51:02	N35.26.55.932	E136.34.12.216	38.0	36.1	89.99997099971232	11.11011164144901	0
74	2018-01-23	15:51:03	N35.26.55.932	E136.34.12.576	38.0	30.2	89.9999623016221	14.443144847389165	0
75	2018-01-23	15:51:05	N35.26.55.932	E136.34.13.044	38.0	13.9	292.2534848842918	3.429975663056582	1
76	2018-01-23	15:51:06	N35.26.55.896	E136.34.13.152	37.0	6.9	89.99999419502181	2.2220222402112246	2
77	2018-01-23	15:51:08	N35.26.55.896	E136.34.13.224	37.0	1.0	0.0	0.0	2
78	2018-01-23	15:51:09	N35.26.55.896	E136.34.13.224	37.0	0.2	0.0	0.0	2
79	2018-01-23	15:51:10	N35.26.55.896	E136.34.13.224	37.0	0.1	0.0	0.0	2
80	2018-01-23	15:51:12	N35.26.55.896	E136.34.13.224	37.0	0.2	270.0000028857117	1.1110111219573242	2
81	2018-01-23	15:51:14	N35.26.55.896	E136.34.13.188	37.0	0.2	0.0	0.0	2
82	2018-01-23	15:51:15	N35.26.55.896	E136.34.13.188	37.0	0.2	0.0	0.0	2
83	2018-01-23	15:51:17	N35.26.55.896	E136.34.13.188	37.0	0.1	0.0	0.0	2
84	2018-01-23	15:51:19	N35.26.55.896	E136.34.13.188	37.0	0.2	270.0000028857117	1.1110111182539004	2
85	2018-01-23	15:51:20	N35.26.55.896	E136.34.13.152	37.0	0.1	0.0	0.0	2
86	2018-01-23	15:51:22	N35.26.55.896	E136.34.13.152	37.0	0.2	0.0	0.0	2
87	2018-01-23	15:51:24	N35.26.55.896	E136.34.13.152	37.0	0.2	0.0	0.0	2
88	2018-01-23	15:51:26	N35.26.55.896	E136.34.13.152	37.0	0.2	0.0	0.0	2
89	2018-01-23	15:51:28	N35.26.55.896	E136.34.13.152	37.0	0.2	0.0	0.0	2
90	2018-01-23	15:51:30	N35.26.55.896	E136.34.13.152	37.0	0.2	270.0000028857117	1.1110111258580986	2
91	2018-01-23	15:51:32	N35.26.55.896	E136.34.13.116	37.0	0.2	0.0	0.0	2
92	2018-01-23	15:51:34	N35.26.55.896	E136.34.13.116	37.0	0.2	0.0	0.0	2
93	2018-01-23	15:51:35	N35.26.55.896	E136.34.13.116	37.0	0.2	0.0	0.0	2
94	2018-01-23	15:51:36	N35.26.55.896	E136.34.13.116	38.0	0.2	0.0	0.0	2
95	2018-01-23	15:51:38	N35.26.55.896	E136.34.13.116	38.0	0.2	0.0	0.0	2
96	2018-01-23	15:51:39	N35.26.55.896	E136.34.13.116	38.0	0.2	0.0	0.0	2
97	2018-01-23	15:51:40	N35.26.55.896	E136.34.13.116	38.0	0.2	0.0	0.0	2
98	2018-01-23	15:51:42	N35.26.55.896	E136.34.13.116	38.0	0.2	0.0	0.0	2
99	2018-01-23	15:51:44	N35.26.55.896	E136.34.13.116	38.0	1.2	89.99999711428832	1.1110111258580986	2
100	2018-01-23	15:51:45	N35.26.55.896	E136.34.13.152	38.0	3.7	89.99998549985796	5.555055588727064	2
101	2018-01-23	15:51:47	N35.26.55.896	E136.34.13.332	38.0	14.0	89.99998549985796	5.555055542794297	3
102	2018-01-23	15:51:48	N35.26.55.896	E136.34.13.512	38.0	17.7	89.99996810058231	12.221122024209572	0
