ID	時間	x	y	status
1	15:49:22	-188	304	0
2	15:49:22	-7	293	0
3	15:49:22	1424	323	0
4	15:49:22	5	436	0
5	15:49:22	74	339	0
6	15:49:22	774	245	0
7	15:49:23	442	51	0
8	15:49:23	753	248	0
9	15:49:23	931	354	0
10	15:49:23	692	409	0
11	15:49:24	-9	289	0
12	15:49:24	878	395	0
13	15:49:24	953	318	0
14	15:49:24	749	449	0
15	15:49:25	663	466	0
16	15:49:25	536	372	0
17	15:49:25	874	162	0
18	15:49:25	359	541	0
19	15:49:26	493	415	0
20	15:49:27	407	190	0
21	15:49:27	1127	496	0
22	15:49:27	-41	543	0
23	15:49:27	913	266	0
24	15:49:27	165	446	0
25	15:49:27	34	502	0
26	15:49:27	436	489	0
27	15:49:27	23	515	0
28	15:49:27	236	556	0
29	15:49:28	298	525	1
30	15:49:29	309	535	2
31	15:49:29	345	396	2
32	15:49:29	672	440	2
33	15:49:29	163	466	2
34	15:49:29	117	429	2
35	15:49:29	274	408	2
36	15:49:30	597	282	2
37	15:49:30	717	416	2
38	15:49:30	827	110	2
39	15:49:30	488	469	3
40	15:49:30	-8	306	0
41	15:49:30	415	340	0
42	15:49:30	182	328	0
43	15:49:31	620	307	0
44	15:49:31	911	304	0
45	15:49:31	379	306	0
46	15:49:31	918	345	0
47	15:49:31	650	260	0
48	15:49:31	449	398	0
49	15:49:31	737	279	0
50	15:49:31	568	309	0
51	15:49:32	518	323	0
52	15:49:32	668	340	0
53	15:49:32	669	364	0
54	15:49:32	815	330	0
55	15:49:32	428	278	0
56	15:49:32	267	520	0
57	15:49:32	792	305	0
58	15:49:32	236	335	0
59	15:49:33	401	291	0
60	15:49:33	347	368	0
61	15:49:33	182	401	0
62	15:49:36	568	511	0
63	15:49:36	-69	357	0
64	15:49:36	133	527	0
65	15:49:36	454	354	0
66	15:49:37	951	338	0
67	15:49:37	-321	370	0
68	15:49:37	-371	289	0
69	15:49:37	-650	331	0
70	15:49:37	-435	347	1
71	15:49:37	535	280	2
72	15:49:37	874	458	2
73	15:49:38	545	440	2
74	15:49:38	447	561	3
75	15:49:38	453	343	0
76	15:49:38	265	362	0
77	15:49:38	162	430	0
78	15:49:38	558	463	0
79	15:49:38	525	325	0
80	15:49:38	1212	336	0
81	15:49:39	790	395	0
82	15:49:41	616	450	0
83	15:49:41	200	346	0
84	15:49:41	-27	348	0
85	15:49:41	493	400	0
86	15:49:41	-27	506	0
87	15:49:41	-40	460	0
88	15:49:42	338	396	0
89	15:49:42	938	417	0
90	15:49:42	453	459	0
91	15:49:42	705	385	0
92	15:49:42	782	484	0
93	15:49:42	609	408	0
94	15:49:43	1007	295	0
95	15:49:43	914	412	0
96	15:49:43	1008	343	0
97	15:49:43	1220	369	0
98	15:49:43	1154	361	0
99	15:49:43	861	301	0
100	15:49:43	1081	270	0
101	15:49:43	1017	323	0
102	15:49:43	997	337	0
103	15:49:44	1186	364	0
104	15:49:44	522	302	0
105	15:49:44	195	311	0
106	15:49:45	207	411	0
107	15:49:45	531	485	0
108	15:49:45	86	298	0
109	15:49:45	47	402	0
110	15:49:45	607	432	0
111	15:49:45	909	577	0
112	15:49:46	189	454	0
113	15:49:46	3	99	0
114	15:49:46	257	326	1
115	15:49:46	305	435	2
116	15:49:46	806	189	2
117	15:49:46	893	311	2
118	15:49:47	-417	440	2
119	15:49:47	-80	406	2
120	15:49:47	-300	393	2
121	15:49:47	808	306	2
122	15:49:47	1044	333	2
123	15:49:47	744	258	2
124	15:49:47	719	227	3
125	15:49:48	612	169	0
126	15:49:48	400	252	0
127	15:49:48	229	383	0
128	15:49:48	422	490	0
129	15:49:49	228	552	0
130	15:49:49	470	497	0
131	15:49:49	1078	541	0
132	15:49:49	652	339	0
133	15:49:49	556	224	0
134	15:49:49	741	85	0
135	15:49:50	359	188	0
136	15:49:50	866	139	0
137	15:49:50	1100	69	0
138	15:49:50	240	309	0
139	15:49:50	423	402	0
140	15:49:50	61	373	0
141	15:49:50	916	365	0
142	15:49:50	528	407	0
143	15:49:51	-9	373	0
144	15:49:51	1196	371	0
145	15:49:51	527	442	0
146	15:49:51	589	254	0
147	15:49:51	1051	406	0
148	15:49:51	88	334	0
149	15:49:51	263	373	0
150	15:49:52	-227	386	0
151	15:49:52	1025	347	0
152	15:49:52	904	485	0
153	15:49:52	1401	416	0
154	15:49:52	1193	450	0
155	15:49:52	1187	460	0
156	15:49:52	1251	465	0
157	15:49:52	885	450	0
158	15:49:53	990	413	0
159	15:49:53	404	467	0
160	15:49:53	-75	448	0
161	15:49:53	88	542	0
162	15:49:53	417	558	0
163	15:49:53	527	472	0
164	15:49:53	657	476	0
165	15:49:53	516	489	0
166	15:49:54	355	311	0
167	15:49:54	446	212	0
168	15:49:54	-11	437	0
169	15:49:54	857	357	0
170	15:49:54	399	352	0
171	15:49:54	683	357	0
172	15:49:55	615	299	0
173	15:49:56	1051	332	0
174	15:49:56	473	224	0
175	15:49:56	981	228	0
176	15:49:56	920	238	0
177	15:49:56	833	245	0
178	15:49:56	286	240	0
179	15:49:57	254	257	0
180	15:49:57	724	338	0
181	15:49:57	895	348	0
182	15:49:57	295	406	0
183	15:49:57	482	390	0
184	15:49:57	608	323	0
185	15:49:57	383	350	0
186	15:49:58	1223	302	0
187	15:49:58	246	212	0
188	15:49:58	300	325	0
189	15:49:58	-102	318	0
190	15:49:58	386	332	0
191	15:49:58	695	256	0
192	15:49:59	-126	273	0
193	15:49:59	844	418	0
194	15:49:59	-153	366	0
195	15:49:59	851	364	0
196	15:49:59	-42	336	0
197	15:49:59	817	400	0
198	15:49:59	-36	417	0
199	15:50:00	531	414	0
200	15:50:00	322	449	0
201	15:50:00	989	441	0
202	15:50:00	800	341	0
203	15:50:00	27	369	0
204	15:50:00	20	454	0
205	15:50:00	1082	250	0
206	15:50:00	345	359	0
207	15:50:00	328	374	0
208	15:50:01	200	371	0
209	15:50:01	-127	385	0
210	15:50:01	317	272	0
211	15:50:01	937	382	0
212	15:50:01	-217	311	0
213	15:50:01	-520	255	0
214	15:50:01	700	273	0
215	15:50:01	715	260	0
216	15:50:02	505	323	0
217	15:50:02	268	319	0
218	15:50:02	-325	300	0
219	15:50:02	-467	385	0
220	15:50:02	-7	389	1
221	15:50:02	984	326	2
222	15:50:03	730	344	2
223	15:50:03	776	331	2
224	15:50:03	760	302	3
225	15:50:03	632	341	0
226	15:50:03	494	357	0
227	15:50:03	699	342	0
228	15:50:03	435	395	0
229	15:50:04	188	515	0
230	15:50:04	202	493	0
231	15:50:04	25	520	0
232	15:50:04	-284	436	1
233	15:50:04	508	357	2
234	15:50:04	107	246	2
235	15:50:04	326	290	2
236	15:50:04	528	326	2
237	15:50:04	490	481	2
238	15:50:05	538	464	3
239	15:50:05	227	461	0
240	15:50:05	565	366	0
241	15:50:05	1322	251	0
242	15:50:05	892	592	0
243	15:50:05	816	467	0
244	15:50:05	913	395	0
245	15:50:05	582	392	0
246	15:50:06	-25	431	0
247	15:50:06	523	410	0
248	15:50:06	164	468	0
249	15:50:06	-134	391	0
250	15:50:06	249	420	0
251	15:50:06	-208	284	1
252	15:50:06	378	498	2
253	15:50:07	-194	355	2
254	15:50:07	159	270	2
255	15:50:07	114	190	2
256	15:50:07	115	249	2
257	15:50:07	231	360	2
258	15:50:07	-57	337	2
259	15:50:07	958	542	2
260	15:50:07	611	410	2
261	15:50:08	651	337	2
262	15:50:08	1001	330	3
263	15:50:08	788	365	0
264	15:50:08	561	394	0
265	15:50:08	86	263	0
266	15:50:08	778	398	0
267	15:50:08	224	413	0
268	15:50:08	305	416	0
269	15:50:09	1100	414	0
270	15:50:09	680	393	0
271	15:50:09	701	445	0
272	15:50:09	1260	312	0
273	15:50:09	1775	422	0
274	15:50:09	1133	492	0
275	15:50:09	284	374	0
276	15:50:09	198	337	0
277	15:50:10	355	416	0
278	15:50:10	185	434	0
279	15:50:10	388	371	0
280	15:50:10	1045	430	0
281	15:50:10	558	306	0
282	15:50:10	1148	370	0
283	15:50:10	1452	337	0
284	15:50:10	1223	424	0
285	15:50:11	1300	353	0
286	15:50:11	1358	365	0
287	15:50:11	1355	421	0
288	15:50:11	1178	488	0
289	15:50:11	651	506	0
290	15:50:11	1772	385	0
291	15:50:11	1819	385	0
292	15:50:12	-113	407	0
293	15:50:12	467	517	0
294	15:50:12	416	350	0
295	15:50:12	839	381	0
296	15:50:12	582	505	0
297	15:50:12	371	512	0
298	15:50:13	536	379	0
299	15:50:13	556	503	0
300	15:50:13	503	253	0
301	15:50:13	781	469	0
302	15:50:13	503	238	0
303	15:50:13	1100	362	0
304	15:50:13	573	315	0
305	15:50:14	190	371	0
306	15:50:14	392	477	0
307	15:50:14	130	391	0
308	15:50:14	598	456	0
309	15:50:14	173	419	0
310	15:50:14	417	468	0
311	15:50:15	-178	466	0
312	15:50:15	-248	425	0
313	15:50:15	899	383	0
314	15:50:15	147	433	0
315	15:50:15	122	290	0
316	15:50:15	310	339	0
317	15:50:15	120	396	0
318	15:50:16	675	380	0
319	15:50:16	896	288	0
320	15:50:16	-124	282	0
321	15:50:16	45	310	0
322	15:50:16	147	388	1
323	15:50:16	3	336	2
324	15:50:17	380	349	2
325	15:50:17	844	380	2
326	15:50:17	231	374	2
