//ID,日付,時間,緯度,経度,速度(km/hour),高度(m),WayPoint
789,2018-01-23,15:49:25,35.44945,136.56381,0.200,39.0,false
790,2018-01-23,15:49:26,35.44943,136.56379,0.600,41.0,false
791,2018-01-23,15:49:27,35.44944,136.56380,0.900,41.0,false
792,2018-01-23,15:49:29,35.44944,136.56380,0.300,41.0,false
793,2018-01-23,15:49:30,35.44944,136.56380,0.200,40.0,false
794,2018-01-23,15:49:32,35.44944,136.56380,0.200,40.0,false
795,2018-01-23,15:49:33,35.44944,136.56380,0.300,39.0,false
796,2018-01-23,15:49:34,35.44944,136.56380,0.200,39.0,false
797,2018-01-23,15:49:35,35.44944,136.56380,0.200,39.0,false
798,2018-01-23,15:49:36,35.44944,136.56380,0.300,39.0,false
799,2018-01-23,15:49:37,35.44944,136.56380,0.200,39.0,false
800,2018-01-23,15:49:38,35.44944,136.56381,0.100,39.0,false
801,2018-01-23,15:49:39,35.44944,136.56381,0.200,39.0,false
802,2018-01-23,15:49:40,35.44944,136.56381,0.100,39.0,false
803,2018-01-23,15:49:41,35.44944,136.56381,0.200,38.0,false
804,2018-01-23,15:49:42,35.44944,136.56381,0.200,38.0,false
805,2018-01-23,15:49:43,35.44944,136.56381,0.200,38.0,false
806,2018-01-23,15:49:44,35.44944,136.56381,0.200,38.0,false
807,2018-01-23,15:49:45,35.44944,136.56381,0.200,38.0,false
808,2018-01-23,15:49:46,35.44944,136.56381,0.100,38.0,false
809,2018-01-23,15:49:48,35.44944,136.56381,0.200,38.0,false
810,2018-01-23,15:49:50,35.44944,136.56381,0.300,38.0,false
811,2018-01-23,15:49:52,35.44944,136.56381,0.300,38.0,false
812,2018-01-23,15:49:54,35.44944,136.56381,1.500,38.0,false
813,2018-01-23,15:49:55,35.44944,136.56380,2.700,38.0,false
814,2018-01-23,15:49:56,35.44944,136.56379,4.000,38.0,false
815,2018-01-23,15:49:57,35.44944,136.56378,3.400,38.0,false
816,2018-01-23,15:49:58,35.44944,136.56377,1.600,38.0,false
817,2018-01-23,15:49:59,35.44944,136.56377,0.300,38.0,false
818,2018-01-23,15:50:01,35.44942,136.56378,8.100,38.0,false
819,2018-01-23,15:50:02,35.44940,136.56379,12.600,38.0,false
820,2018-01-23,15:50:03,35.44936,136.56379,16.200,38.0,false
821,2018-01-23,15:50:04,35.44932,136.56378,16.600,38.0,false
822,2018-01-23,15:50:06,35.44924,136.56379,14.400,38.0,false
823,2018-01-23,15:50:07,35.44921,136.56381,14.200,38.0,false
824,2018-01-23,15:50:08,35.44919,136.56385,15.100,38.0,false
825,2018-01-23,15:50:10,35.44918,136.56395,18.200,38.0,false
826,2018-01-23,15:50:11,35.44917,136.56400,18.200,38.0,false
827,2018-01-23,15:50:12,35.44915,136.56406,17.600,38.0,false
828,2018-01-23,15:50:13,35.44913,136.56410,17.000,38.0,false
829,2018-01-23,15:50:14,35.44911,136.56414,16.300,38.0,false
830,2018-01-23,15:50:15,35.44907,136.56416,15.800,38.0,false
831,2018-01-23,15:50:16,35.44903,136.56418,15.200,38.0,false
832,2018-01-23,15:50:18,35.44896,136.56419,12.800,37.0,false
833,2018-01-23,15:50:19,35.44894,136.56419,6.600,37.0,false
834,2018-01-23,15:50:20,35.44892,136.56419,5.400,37.0,false
835,2018-01-23,15:50:21,35.44891,136.56420,8.000,37.0,false
836,2018-01-23,15:50:22,35.44889,136.56423,13.100,37.0,false
837,2018-01-23,15:50:24,35.44888,136.56433,21.500,37.0,false
838,2018-01-23,15:50:26,35.44888,136.56450,31.100,37.0,false
839,2018-01-23,15:50:27,35.44888,136.56460,35.290,37.0,false
840,2018-01-23,15:50:28,35.44888,136.56472,39.290,37.0,false
841,2018-01-23,15:50:30,35.44888,136.56498,45.900,37.0,false
842,2018-01-23,15:50:32,35.44887,136.56528,50.700,38.0,false
843,2018-01-23,15:50:34,35.44887,136.56561,53.100,38.0,false
844,2018-01-23,15:50:36,35.44887,136.56594,55.100,38.0,false
845,2018-01-23,15:50:38,35.44887,136.56628,53.100,38.0,false
846,2018-01-23,15:50:40,35.44887,136.56660,52.300,38.0,false
847,2018-01-23,15:50:42,35.44887,136.56692,53.100,38.0,false
848,2018-01-23,15:50:43,35.44887,136.56709,53.700,38.0,false
