ID,日付,時間,緯度,経度,速度(km/hour),高度(m),WayPoint
1,2018/1/23,15:49:25,35.44945,136.56381,0.2,39,FALSE
2,2018/1/23,15:49:26,35.44943,136.56379,0.6,41,FALSE
3,2018/1/23,15:49:27,35.44944,136.5638,0.9,41,FALSE
4,2018/1/23,15:49:29,35.44944,136.5638,0.3,41,FALSE
5,2018/1/23,15:49:30,35.44944,136.5638,0.2,40,FALSE
6,2018/1/23,15:49:32,35.44944,136.5638,0.2,40,FALSE
7,2018/1/23,15:49:33,35.44944,136.5638,0.3,39,FALSE
8,2018/1/23,15:49:34,35.44944,136.5638,0.2,39,FALSE
9,2018/1/23,15:49:35,35.44944,136.5638,0.2,39,FALSE
10,2018/1/23,15:49:36,35.44944,136.5638,0.3,39,FALSE
11,2018/1/23,15:49:37,35.44944,136.5638,0.2,39,FALSE
12,2018/1/23,15:49:38,35.44944,136.56381,0.1,39,FALSE
13,2018/1/23,15:49:39,35.44944,136.56381,0.2,39,FALSE
14,2018/1/23,15:49:40,35.44944,136.56381,0.1,39,FALSE
15,2018/1/23,15:49:41,35.44944,136.56381,0.2,38,FALSE
16,2018/1/23,15:49:42,35.44944,136.56381,0.2,38,FALSE
17,2018/1/23,15:49:43,35.44944,136.56381,0.2,38,FALSE
18,2018/1/23,15:49:44,35.44944,136.56381,0.2,38,FALSE
19,2018/1/23,15:49:45,35.44944,136.56381,0.2,38,FALSE
20,2018/1/23,15:49:46,35.44944,136.56381,0.1,38,FALSE
21,2018/1/23,15:49:48,35.44944,136.56381,0.2,38,FALSE
22,2018/1/23,15:49:50,35.44944,136.56381,0.3,38,FALSE
23,2018/1/23,15:49:52,35.44944,136.56381,0.3,38,FALSE
24,2018/1/23,15:49:54,35.44944,136.56381,1.5,38,FALSE
25,2018/1/23,15:49:55,35.44944,136.5638,2.7,38,FALSE
26,2018/1/23,15:49:56,35.44944,136.56379,4,38,FALSE
27,2018/1/23,15:49:57,35.44944,136.56378,3.4,38,FALSE
28,2018/1/23,15:49:58,35.44944,136.56377,1.6,38,FALSE
29,2018/1/23,15:49:59,35.44944,136.56377,0.3,38,FALSE
30,2018/1/23,15:50:01,35.44942,136.56378,8.1,38,FALSE
31,2018/1/23,15:50:02,35.4494,136.56379,12.6,38,FALSE
32,2018/1/23,15:50:03,35.44936,136.56379,16.2,38,FALSE
33,2018/1/23,15:50:04,35.44932,136.56378,16.6,38,FALSE
34,2018/1/23,15:50:06,35.44924,136.56379,14.4,38,FALSE
35,2018/1/23,15:50:07,35.44921,136.56381,14.2,38,FALSE
36,2018/1/23,15:50:08,35.44919,136.56385,15.1,38,FALSE
37,2018/1/23,15:50:10,35.44918,136.56395,18.2,38,FALSE
38,2018/1/23,15:50:11,35.44917,136.564,18.2,38,FALSE
39,2018/1/23,15:50:12,35.44915,136.56406,17.6,38,FALSE
40,2018/1/23,15:50:13,35.44913,136.5641,17,38,FALSE
41,2018/1/23,15:50:14,35.44911,136.56414,16.3,38,FALSE
42,2018/1/23,15:50:15,35.44907,136.56416,15.8,38,FALSE
43,2018/1/23,15:50:16,35.44903,136.56418,15.2,38,FALSE
44,2018/1/23,15:50:18,35.44896,136.56419,12.8,37,FALSE
45,2018/1/23,15:50:19,35.44894,136.56419,6.6,37,FALSE
46,2018/1/23,15:50:20,35.44892,136.56419,5.4,37,FALSE
47,2018/1/23,15:50:21,35.44891,136.5642,8,37,FALSE
48,2018/1/23,15:50:22,35.44889,136.56423,13.1,37,FALSE
49,2018/1/23,15:50:24,35.44888,136.56433,21.5,37,FALSE
50,2018/1/23,15:50:26,35.44888,136.5645,31.1,37,FALSE
51,2018/1/23,15:50:27,35.44888,136.5646,35.29,37,FALSE
52,2018/1/23,15:50:28,35.44888,136.56472,39.29,37,FALSE
53,2018/1/23,15:50:30,35.44888,136.56498,45.9,37,FALSE
54,2018/1/23,15:50:32,35.44887,136.56528,50.7,38,FALSE
55,2018/1/23,15:50:34,35.44887,136.56561,53.1,38,FALSE
56,2018/1/23,15:50:36,35.44887,136.56594,55.1,38,FALSE
57,2018/1/23,15:50:38,35.44887,136.56628,53.1,38,FALSE
58,2018/1/23,15:50:40,35.44887,136.5666,52.3,38,FALSE
59,2018/1/23,15:50:42,35.44887,136.56692,53.1,38,FALSE
60,2018/1/23,15:50:43,35.44887,136.56709,53.7,38,FALSE
61,2018/1/23,15:50:44,35.44887,136.56725,54.2,38,FALSE
62,2018/1/23,15:50:46,35.44887,136.56759,54.9,38,FALSE
63,2018/1/23,15:50:48,35.44887,136.56793,55.4,38,FALSE
64,2018/1/23,15:50:50,35.44887,136.56827,53.8,38,FALSE
65,2018/1/23,15:50:52,35.44887,136.56859,53.4,38,FALSE
66,2018/1/23,15:50:54,35.44887,136.56892,52.7,38,FALSE
67,2018/1/23,15:50:55,35.44887,136.56908,51.2,38,FALSE
68,2018/1/23,15:50:56,35.44887,136.56924,50,38,FALSE
69,2018/1/23,15:50:57,35.44887,136.56939,48.6,38,FALSE
70,2018/1/23,15:50:58,35.44887,136.56953,47.3,38,FALSE
71,2018/1/23,15:50:59,35.44887,136.56968,45.9,38,FALSE
72,2018/1/23,15:51:00,35.44887,136.56981,43.6,38,FALSE
73,2018/1/23,15:51:02,35.44887,136.57006,36.1,38,FALSE
74,2018/1/23,15:51:03,35.44887,136.57016,30.2,38,FALSE
75,2018/1/23,15:51:05,35.44887,136.57029,13.9,38,FALSE
76,2018/1/23,15:51:06,35.44886,136.57032,6.9,37,FALSE
77,2018/1/23,15:51:08,35.44886,136.57034,1,37,FALSE
78,2018/1/23,15:51:09,35.44886,136.57034,0.2,37,FALSE
79,2018/1/23,15:51:10,35.44886,136.57034,0.1,37,FALSE
80,2018/1/23,15:51:12,35.44886,136.57034,0.2,37,FALSE
81,2018/1/23,15:51:14,35.44886,136.57033,0.2,37,FALSE
82,2018/1/23,15:51:15,35.44886,136.57033,0.2,37,FALSE
83,2018/1/23,15:51:17,35.44886,136.57033,0.1,37,FALSE
84,2018/1/23,15:51:19,35.44886,136.57033,0.2,37,FALSE
85,2018/1/23,15:51:20,35.44886,136.57032,0.1,37,FALSE
86,2018/1/23,15:51:22,35.44886,136.57032,0.2,37,FALSE
87,2018/1/23,15:51:24,35.44886,136.57032,0.2,37,FALSE
88,2018/1/23,15:51:26,35.44886,136.57032,0.2,37,FALSE
89,2018/1/23,15:51:28,35.44886,136.57032,0.2,37,FALSE
90,2018/1/23,15:51:30,35.44886,136.57032,0.2,37,FALSE
91,2018/1/23,15:51:32,35.44886,136.57031,0.2,37,FALSE
92,2018/1/23,15:51:34,35.44886,136.57031,0.2,37,FALSE
93,2018/1/23,15:51:35,35.44886,136.57031,0.2,37,FALSE
94,2018/1/23,15:51:36,35.44886,136.57031,0.2,38,FALSE
95,2018/1/23,15:51:38,35.44886,136.57031,0.2,38,FALSE
96,2018/1/23,15:51:39,35.44886,136.57031,0.2,38,FALSE
97,2018/1/23,15:51:40,35.44886,136.57031,0.2,38,FALSE
98,2018/1/23,15:51:42,35.44886,136.57031,0.2,38,FALSE
99,2018/1/23,15:51:44,35.44886,136.57031,1.2,38,FALSE
100,2018/1/23,15:51:45,35.44886,136.57032,3.7,38,FALSE
101,2018/1/23,15:51:47,35.44886,136.57037,14,38,FALSE
102,2018/1/23,15:51:48,35.44886,136.57042,17.7,38,FALSE
103,2018/1/23,15:51:50,35.44886,136.57053,17.3,38,FALSE
104,2018/1/23,15:51:51,35.44886,136.57058,16.7,38,FALSE
105,2018/1/23,15:51:52,35.44886,136.57063,15.9,38,FALSE
106,2018/1/23,15:51:54,35.44883,136.57071,13.7,38,FALSE
107,2018/1/23,15:51:55,35.44881,136.57073,13.5,38,FALSE
108,2018/1/23,15:51:56,35.44877,136.57075,17.89,38,FALSE
109,2018/1/23,15:51:57,35.44872,136.57075,20,38,FALSE
110,2018/1/23,15:51:58,35.44866,136.57074,25.1,38,FALSE
111,2018/1/23,15:52:00,35.44852,136.57072,31.9,37,FALSE
112,2018/1/23,15:52:02,35.44834,136.5707,37.5,37,FALSE
113,2018/1/23,15:52:03,35.44824,136.57069,39.4,37,FALSE
114,2018/1/23,15:52:04,35.44814,136.57068,41.1,36,FALSE
115,2018/1/23,15:52:06,35.44792,136.57067,42.1,36,FALSE
116,2018/1/23,15:52:08,35.44771,136.57067,43,36,FALSE
117,2018/1/23,15:52:09,35.4476,136.57067,43.8,35,FALSE
118,2018/1/23,15:52:10,35.44749,136.57067,44.7,35,FALSE
119,2018/1/23,15:52:12,35.44726,136.57068,44.1,35,FALSE
120,2018/1/23,15:52:14,35.44705,136.5707,42.3,35,FALSE
121,2018/1/23,15:52:15,35.44694,136.5707,41.3,34,FALSE
122,2018/1/23,15:52:16,35.44684,136.57071,40.7,34,FALSE
123,2018/1/23,15:52:17,35.44674,136.57072,41.4,34,FALSE
124,2018/1/23,15:52:18,35.44663,136.57072,42.6,34,FALSE
125,2018/1/23,15:52:20,35.44641,136.57073,42.8,34,FALSE
126,2018/1/23,15:52:21,35.4463,136.57074,41.7,34,FALSE
127,2018/1/23,15:52:22,35.4462,136.57075,40.4,34,FALSE
128,2018/1/23,15:52:24,35.446,136.57078,41,34,FALSE
129,2018/1/23,15:52:25,35.4459,136.57079,41.5,34,FALSE
130,2018/1/23,15:52:27,35.44568,136.57082,42.7,35,FALSE
131,2018/1/23,15:52:28,35.44557,136.57084,42.5,34,FALSE
132,2018/1/23,15:52:29,35.44547,136.57085,41.7,34,FALSE
133,2018/1/23,15:52:30,35.44536,136.57087,41.9,34,FALSE
134,2018/1/23,15:52:32,35.44515,136.5709,42.5,34,FALSE
135,2018/1/23,15:52:33,35.44505,136.57092,41.8,34,FALSE
136,2018/1/23,15:52:34,35.44494,136.57094,41.6,34,FALSE
137,2018/1/23,15:52:35,35.44484,136.57096,41.5,34,FALSE
138,2018/1/23,15:52:37,35.44463,136.57101,41.6,34,FALSE
139,2018/1/23,15:52:39,35.44444,136.57107,40.2,33,FALSE
140,2018/1/23,15:52:40,35.44434,136.5711,38.1,33,FALSE
141,2018/1/23,15:52:42,35.4442,136.57116,23.4,32,FALSE
142,2018/1/23,15:52:44,35.44409,136.57119,24.4,32,FALSE
143,2018/1/23,15:52:46,35.44396,136.57124,31.7,31,FALSE
144,2018/1/23,15:52:47,35.44387,136.57127,36.4,31,FALSE
145,2018/1/23,15:52:48,35.44378,136.5713,38.6,31,FALSE
146,2018/1/23,15:52:50,35.44359,136.57137,42.4,32,FALSE
147,2018/1/23,15:52:51,35.44348,136.5714,42.6,32,FALSE
148,2018/1/23,15:52:52,35.44338,136.57144,41.6,32,FALSE
149,2018/1/23,15:52:53,35.44328,136.57147,40.4,32,FALSE
150,2018/1/23,15:52:54,35.44318,136.5715,39.1,32,FALSE
151,2018/1/23,15:52:56,35.44301,136.57156,31.3,32,FALSE
